,Age,SkinType,SkinConcerns,SkinTyone,Anti-Acne
0,25-34,Normal,Blackheads,Porcelain,Lactic Acid
3,18-24,Combination,Acne,Tan,Lactic Acid
6,18-24,Oily,Acne,Dark,Lactic Acid
9,13-17,Dry,Acne,Light,Lactic Acid
12,35-44,Combination,Acne,Porcelain,Lactic Acid
15,18-24,Combination,Acne,Light,Lactic Acid
18,55-120,Oily,Acne,Light,Lactic Acid
21,18-24,Oily,Dark circles,Fair,Lactic Acid
24,25-34,Combination,Aging,Deep,Lactic Acid
27,13-17,Oily,Acne,Olive,Lactic Acid
30,25-34,Combination,Acne,Dark,Lactic Acid
33,18-24,Combination,Aging,Fair,Lactic Acid
36,35-44,Oily,Acne,Olive,Lactic Acid
39,25-34,Dry,Aging,Deep,Lactic Acid
42,25-34,Oily,Acne,Light,Lactic Acid
45,18-24,Oily,Aging,Light,Lactic Acid
48,25-34,Combination,Aging,Tan,Lactic Acid
51,25-34,Oily,Aging,Fair,Lactic Acid
54,18-24,Oily,Dark circles,Light,Lactic Acid
57,18-24,Combination,Acne,Porcelain,Lactic Acid
60,25-34,Combination,Acne,Fair,Lactic Acid
63,25-34,Oily,Acne,Medium,Lactic Acid
66,18-24,Combination,Calluses,Dark,Lactic Acid
72,13-17,Oily,Acne,Porcelain,Lactic Acid
75,18-24,Dry,Acne,Porcelain,Lactic Acid
78,25-34,Combination,Acne,Medium,Lactic Acid
81,18-24,Combination,Redness,Fair,Lactic Acid
84,25-34,Combination,Acne,Light,Lactic Acid
87,18-24,Dry,Acne,Light,Lactic Acid
93,25-34,Dry,Acne,Fair,Lactic Acid
96,25-34,Combination,Acne,Tan,Lactic Acid
99,18-24,Oily,Acne,Medium,Lactic Acid
105,18-24,Combination,Sensitivity,Ebony,Lactic Acid
108,25-34,Normal,Aging,Light,Lactic Acid
114,18-24,Combination,Acne,Fair,Lactic Acid
123,25-34,Dry,Dullness,Fair,Lactic Acid
126,55-120,Dry,Acne,Tan,Lactic Acid
135,25-34,Combination,Aging,Fair,Lactic Acid
138,18-24,Combination,Acne,Medium,Lactic Acid
141,18-24,Oily,Acne,Light,Lactic Acid
144,18-24,Dry,Dark circles,Light,Lactic Acid
147,35-44,Combination,Dark circles,Olive,Lactic Acid
150,25-34,Normal,Aging,Deep,Lactic Acid
162,25-34,Combination,Aging,Light,Lactic Acid
168,25-34,Combination,Cellulite,Dark,Lactic Acid
174,25-34,Combination,Acne,Olive,Lactic Acid
180,25-34,Combination,Aging,Medium,Lactic Acid
183,18-24,Combination,Aging,Light,Lactic Acid
192,25-34,Normal,Acne,Porcelain,Lactic Acid
195,25-34,Combination,Acne,Deep,Lactic Acid
198,18-24,Dry,Acne,Tan,Lactic Acid
201,55-120,Dry,Aging,Porcelain,Lactic Acid
219,35-44,Oily,Acne,Light,Lactic Acid
222,13-17,Combination,Aging,Light,Lactic Acid
225,45-54,Combination,Dullness,Medium,Lactic Acid
228,25-34,Oily,Acne,Olive,Lactic Acid
231,35-44,Combination,Acne,Fair,Lactic Acid
243,35-44,Combination,Dark circles,Tan,Lactic Acid
246,35-44,Combination,Redness,Fair,Lactic Acid
249,25-34,Normal,Acne,Medium,Lactic Acid
