,Age,SkinType,SkinConcerns,SkinTyone,Anti-Acne
0,35-44,Dry,Sensitivity,Olive,Niacinamide
1,35-44,Combination,Acne,Olive,Niacinamide
2,25-34,Normal,Aging,Light,Niacinamide
3,35-44,Normal,Redness,Medium,Niacinamide
4,25-34,Combination,Acne,Medium,Niacinamide
5,18-24,Oily,Acne,Light,Niacinamide
6,13-17,Combination,Aging,Porcelain,Niacinamide
7,25-34,Combination,Dark circles,Fair,Niacinamide
8,25-34,Oily,Aging,Medium,Niacinamide
9,25-34,Combination,Aging,Light,Niacinamide
10,13-17,Normal,Dark circles,Medium,Niacinamide
11,25-34,Combination,Acne,Light,Niacinamide
12,25-34,Combination,Acne,Medium,Niacinamide
13,25-34,Combination,Aging,Fair,Niacinamide
14,25-34,Normal,Dark circles,Medium,Niacinamide
15,45-54,Dry,Aging,Light,Niacinamide
16,18-24,Normal,Acne,Olive,Niacinamide
17,25-34,Dry,Aging,Light,Niacinamide
18,25-34,Combination,Aging,Ebony,Niacinamide
19,35-44,Dry,Aging,Light,Niacinamide
20,18-24,Normal,Aging,Medium,Niacinamide
21,25-34,Dry,Aging,Medium,Niacinamide
22,25-34,Combination,Aging,Medium,Niacinamide
23,25-34,Combination,Acne,Tan,Niacinamide
24,25-34,Combination,Aging,Medium,Niacinamide
25,25-34,Combination,Acne,Medium,Niacinamide
26,25-34,Combination,Acne,Medium,Niacinamide
27,25-34,Combination,Sensitivity,Fair,Niacinamide
28,25-34,Normal,Sensitivity,Fair,Niacinamide
29,25-34,Oily,Acne,Medium,Niacinamide
30,18-24,Combination,Acne,Medium,Niacinamide
31,45-54,Dry,Acne,Medium,Niacinamide
32,25-34,Dry,Aging,Tan,Niacinamide
33,25-34,Dry,Acne,Light,Niacinamide
34,25-34,Combination,Acne,Olive,Niacinamide
35,18-24,Dry,Acne,Light,Niacinamide
36,18-24,Combination,Acne,Deep,Niacinamide
37,18-24,Combination,Aging,Fair,Niacinamide
38,25-34,Dry,Aging,Dark,Niacinamide
39,25-34,Combination,Acne,Light,Niacinamide
40,18-24,Combination,Acne,Medium,Niacinamide
41,35-44,Combination,Dark circles,Light,Niacinamide
