,Age,SkinType,SkinConcerns,SkinTyone,Skin Brightening
0,25-34,Normal,Blackheads,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
3,18-24,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
6,18-24,Oily,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
9,13-17,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
12,35-44,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
15,18-24,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
18,55-120,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
21,18-24,Oily,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
24,25-34,Combination,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
27,13-17,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
30,25-34,Combination,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
33,18-24,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
36,35-44,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
39,25-34,Dry,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
42,25-34,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
45,18-24,Oily,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
48,25-34,Combination,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
51,25-34,Oily,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
54,18-24,Oily,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
57,18-24,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
60,25-34,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
63,25-34,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
66,18-24,Combination,Calluses,Dark,"Lactic Acid,Glycolic Acid,Licorice"
72,13-17,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
75,18-24,Dry,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
78,25-34,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
81,18-24,Combination,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
84,25-34,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
87,18-24,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
93,25-34,Dry,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
96,25-34,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
99,18-24,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
105,18-24,Combination,Sensitivity,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
108,25-34,Normal,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
114,18-24,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
123,25-34,Dry,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
126,55-120,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
135,25-34,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
138,18-24,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
141,18-24,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
144,18-24,Dry,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
147,35-44,Combination,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
150,25-34,Normal,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
162,25-34,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
168,25-34,Combination,Cellulite,Dark,"Lactic Acid,Glycolic Acid,Licorice"
174,25-34,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
180,25-34,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
183,18-24,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
192,25-34,Normal,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
195,25-34,Combination,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
198,18-24,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
201,55-120,Dry,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
219,35-44,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
222,13-17,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
225,45-54,Combination,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
228,25-34,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
231,35-44,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
243,35-44,Combination,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
246,35-44,Combination,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
249,25-34,Normal,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
258,25-34,Oily,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
261,25-34,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
264,25-34,Combination,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
267,13-17,Dry,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
273,18-24,Combination,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
276,18-24,Combination,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
279,25-34,Normal,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
285,35-44,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
288,35-44,Combination,Sun damage,Medium,"Lactic Acid,Glycolic Acid,Licorice"
291,55-120,Combination,Uneven skin tones,Deep,"Lactic Acid,Glycolic Acid,Licorice"
297,18-24,Combination,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
303,18-24,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
306,18-24,Dry,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
318,25-34,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
336,55-120,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
339,25-34,Combination,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
342,18-24,Normal,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
345,45-54,Combination,Sun damage,Light,"Lactic Acid,Glycolic Acid,Licorice"
351,18-24,Normal,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
369,18-24,Dry,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
387,25-34,Dry,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
396,45-54,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
405,25-34,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
411,45-54,Dry,Dullness,Light,"Lactic Acid,Glycolic Acid,Licorice"
414,25-34,Combination,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
426,18-24,Dry,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
429,13-17,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
432,18-24,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
438,18-24,Normal,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
444,25-34,Dry,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
456,18-24,Dry,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
459,18-24,Oily,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
468,25-34,Normal,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
471,13-17,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
483,25-34,Normal,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
486,25-34,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
495,18-24,Dry,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
504,18-24,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
519,18-24,Normal,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
531,25-34,Combination,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
534,25-34,Oily,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
540,18-24,Combination,Blackheads,Olive,"Lactic Acid,Glycolic Acid,Licorice"
543,25-34,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
549,35-44,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
564,55-120,Normal,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
570,25-34,Normal,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
573,13-17,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
576,25-34,Dry,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
582,18-24,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
585,18-24,Combination,Sensitivity,Light,"Lactic Acid,Glycolic Acid,Licorice"
591,25-34,Dry,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
594,45-54,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
